潮语频道,#genre#
揭阳综合,http://istoreos-vpn1974.softether.net:4022/rtp/239.21.0.82:3668
揭阳生活,http://istoreos-vpn1974.softether.net:4022/rtp/239.21.0.83:3672
汕头综合,http://istoreos-vpn1974.softether.net:4022/rtp/239.21.0.98:3732
汕头经济生活,http://istoreos-vpn1974.softether.net:4022/rtp/239.21.0.99:3736
汕头文旅体育,http://istoreos-vpn1974.softether.net:4022/rtp/239.21.0.100:3740
汕尾新闻综合,http://istoreos-vpn1974.softether.net:4022/rtp/239.20.0.23:3312
汕尾文旅体育,http://istoreos-vpn1974.softether.net:4022/rtp/239.20.0.22:3316
揭阳综合,http://istoreos-vpn1974.softether.net:9981/stream/channelid/792674359
揭阳生活,http://istoreos-vpn1974.softether.net:9981/stream/channelid/657264635
汕头综合,http://istoreos-vpn1974.softether.net:9981/stream/channelid/8983444
汕头经济生活,http://istoreos-vpn1974.softether.net:9981/stream/channelid/1474074378
汕头文旅体育,http://istoreos-vpn1974.softether.net:9981/stream/channelid/1003844611
汕尾新闻综合,http://istoreos-vpn1974.softether.net:9981/stream/channelid/1547699436
汕尾文旅体育,http://istoreos-vpn1974.softether.net:9981/stream/channelid/1759280597
揭阳综合,http://istoreos-vpn1974.softether.net:9981/play/ticket/stream/channel/37403faf572feccd60be901b6db47bbe
揭阳生活,http://istoreos-vpn1974.softether.net:9981/play/ticket/stream/channel/fb0f2da70a6cd85a8af748f9da04c9b8
汕头综合,http://istoreos-vpn1974.softether.net:9981/play/ticket/stream/channel/94138900a2012c7dbe501503f733cd47
汕头经济生活,http://istoreos-vpn1974.softether.net:9981/play/ticket/stream/channel/0a97dcd7f41906c0a3ff9eeac57358e1
汕头文旅体育,http://istoreos-vpn1974.softether.net:9981/play/ticket/stream/channel/0374d53b0fec26a97dbd8ff2afefb9a6
汕尾新闻综合,http://istoreos-vpn1974.softether.net:9981/play/ticket/stream/channel/ec0440dc95b59dbc21a7e081b126c7c5
汕尾文旅体育,http://istoreos-vpn1974.softether.net:9981/play/ticket/stream/channel/d57ddc68cb2364248874e84fa0c77cc9
潮州综合,https://epg.pw/stream/3758ecda88f0009521a2df51c88b2570c49524dd2186947919eaa54affd83b86.m3u8
汕尾文旅体育,http://opentv.x3322.net:4022/rtp/239.20.0.22:3316
